cep,uf,cidade,bairro,logradouro,lat,lng,city_source,geo_source,updated_at
63049376,CE,Juazeiro do Norte,Campo Alegre,Rua José Sitônio Rosas,-7.21306,-39.31528,brasilapi,open-meteo,2026-02-23T23:50:01.401Z
63130468,CE,Crato,Nossa Senhora de Fátima,Rua Antônio Marcelino Santana,-7.23417,-39.40944,brasilapi,open-meteo,2026-02-23T23:50:01.692Z
63660000,CE,Tauá,,,-6.0031372,-40.2947268,brasilapi,brasilapi,2026-02-23T23:50:01.585Z
63736000,CE,Crateús,Realejo,,-5.17833,-40.6775,brasilapi,open-meteo,2026-02-23T23:50:02.092Z
63740000,CE,Novo Oriente,,,-5.5350339,-40.7748902,brasilapi,brasilapi,2026-02-23T23:50:01.886Z
64000380,PI,Teresina,Centro,Rua Tiradentes,-5.0823014,-42.8166747,brasilapi,brasilapi,2026-02-23T23:50:02.072Z
64025565,PI,Teresina,Parque Piauí,Rua Itapuã,-5.08917,-42.80194,brasilapi,open-meteo,2026-02-23T23:50:02.439Z
64027190,PI,Teresina,Promorar,Quadra Raimundo Portela,-5.08917,-42.80194,brasilapi,open-meteo,2026-02-23T23:50:02.471Z
64028230,PI,Teresina,Santo Antônio,Rua Tocantins,-5.08917,-42.80194,brasilapi,open-meteo,2026-02-23T23:50:02.635Z
64032122,PI,Teresina,Santo Antônio,Rua São Jorge,-5.08917,-42.80194,brasilapi,open-meteo,2026-02-23T23:50:02.679Z
64039558,PI,Teresina,Esplanada,Residencial Torquato Neto IV,-5.08917,-42.80194,brasilapi,open-meteo,2026-02-23T23:50:02.838Z
64048350,PI,Teresina,Jóquei,Rua General Lages,-5.0669058,-42.7866095,brasilapi,brasilapi,2026-02-23T23:50:02.872Z
64066190,PI,Teresina,Cidade Jardim,Rua Luiz Martírios de Moura,-5.08917,-42.80194,brasilapi,open-meteo,2026-02-23T23:50:03.022Z
64075500,PI,Teresina,Beira Rio,Rua Jacinto Rufino Macedo,-5.1069819,-42.7729844,brasilapi,brasilapi,2026-02-23T23:50:03.066Z
64078474,PI,Teresina,Itararé,Quadra 342,-5.08917,-42.80194,brasilapi,open-meteo,2026-02-23T23:50:03.209Z
